13.96,0.033448,0.089638
14.06,0.033027,0.08851
14.16,0.032601,0.087368
14.26,0.032169,0.086211
14.36,0.031731,0.085038
14.46,0.031287,0.083848
14.56,0.030837,0.082642
14.66,0.03038,0.081417
14.76,0.029917,0.080174
14.86,0.029445,0.078912
14.96,0.028967,0.077628
15.06,0.02848,0.076324
15.16,0.027984,0.074996
15.26,0.02748,0.073645
15.36,0.026966,0.072268
15.46,0.026443,0.070865
15.56,0.025908,0.069433
15.66,0.025363,0.067971
15.76,0.024805,0.066477
15.86,0.024235,0.064949
15.96,0.023651,0.063383
16.06,0.023052,0.061778
16.16,0.022437,0.060131
16.26,0.021805,0.058437
16.36,0.021154,0.056692
16.46,0.020482,0.054892
16.56,0.019788,0.05303
16.66,0.019068,0.051101
16.76,0.01832,0.049097
16.86,0.01754,0.047006
16.96,0.016724,0.044819
17.06,0.015866,0.042519
17.16,0.014958,0.040087
17.26,0.013992,0.037498
17.36,0.012954,0.034716
17.46,0.011826,0.031692
17.56,0.010577,0.028346
17.66,0.00916,0.024548
17.76,0.0074791,0.020044
17.86,0.0052885,0.014173
17.96,0,0
