13.96,0.016746,0.044877
14.06,0.016535,0.044312
14.16,0.016322,0.043741
14.26,0.016105,0.043161
14.36,0.015886,0.042574
14.46,0.015664,0.041978
14.56,0.015439,0.041374
14.66,0.01521,0.040761
14.76,0.014978,0.040139
14.86,0.014742,0.039507
14.96,0.014502,0.038865
15.06,0.014258,0.038211
15.16,0.01401,0.037547
15.26,0.013758,0.03687
15.36,0.013501,0.036181
15.46,0.013238,0.035478
15.56,0.012971,0.034761
15.66,0.012698,0.03403
15.76,0.012419,0.033282
15.86,0.012133,0.032516
15.96,0.011841,0.031733
16.06,0.011541,0.030929
16.16,0.011233,0.030104
16.26,0.010917,0.029256
16.36,0.010591,0.028383
16.46,0.010254,0.027481
16.56,0.0099068,0.02655
16.66,0.0095464,0.025584
16.76,0.0091719,0.02458
16.86,0.0087814,0.023534
16.96,0.0083728,0.022438
17.06,0.0079431,0.021287
17.16,0.0074888,0.02007
17.26,0.0070052,0.018773
17.36,0.0064855,0.017381
17.46,0.0059204,0.015866
17.56,0.0052954,0.014191
17.66,0.0045859,0.01229
17.76,0.0037444,0.010035
17.86,0.0026477,0.0070957
17.96,0,0
